article,name,collection,width_cm,composition,price_eur,direction,vert_repeat,horiz_repeat
9751661-01,orama anthracite,HANGER ORAMA,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751618-01,orama grey,HANGER ORAMA,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751619-01,orama sand,HANGER ORAMA,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751664-01,orama l.grey,HANGER ORAMA,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751611-01,orama natur,HANGER ORAMA,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751612-01,orama beige,HANGER ORAMA,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751617-01,orama chocolate,HANGER ORAMA,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751683-01,orama l.taupe,HANGER ORAMA,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
8102211-05,sweetness natur-powder,HANGER SWEETNESS,315,100%pol,20.00,woven railroaded,vert.repeat 10cm-4",horiz.repeat 8cm-3"
8102211-04,sweetness natur-mint,HANGER SWEETNESS,315,100%pol,20.00,woven railroaded,vert.repeat 10cm-4",horiz.repeat 8cm-3"
8102211-03,sweetness natur-grey,HANGER SWEETNESS,315,100%pol,20.00,woven railroaded,vert.repeat 10cm-4",horiz.repeat 8cm-3"
8102211-02,sweetness natur,HANGER SWEETNESS,315,100%pol,20.00,woven railroaded,vert.repeat 10cm-4",horiz.repeat 8cm-3"
5281218-01,history grey,WATERFALL HISTORY,315,70%pol 30%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5281264-01,history l.grey,WATERFALL HISTORY,315,70%pol 30%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5281210-01,history white,WATERFALL HISTORY,315,70%pol 30%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5281211-01,history natur,WATERFALL HISTORY,315,70%pol 30%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5281272-01,history ecru,WATERFALL HISTORY,315,70%pol 30%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5281212-01,history beige,WATERFALL HISTORY,315,70%pol 30%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5281219-01,history sand,WATERFALL HISTORY,315,70%pol 30%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5281283-01,history l.taupe,WATERFALL HISTORY,315,70%pol 30%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5281236-01,history olive,WATERFALL HISTORY,315,70%pol 30%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6394611-01,montana natur,HANGER MONTANA,310,62%pan 38%pol,22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6394612-01,montana beige,HANGER MONTANA,310,62%pan 38%pol,22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6394664-01,montana l.grey,HANGER MONTANA,310,62%pan 38%pol,22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6394629-01,montana l.blue,HANGER MONTANA,310,62%pan 38%pol,22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6394621-01,montana blue,HANGER MONTANA,310,62%pan 38%pol,22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6394668-01,montana elephant,HANGER MONTANA,310,62%pan 38%pol,22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6394658-01,montana ancient pink,HANGER MONTANA,310,62%pan 38%pol,22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5307861-01,estrada anthracite,HANGER ESTRADA,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5307883-01,estrada l.taupe,HANGER ESTRADA,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5307822-01,estrada powder,HANGER ESTRADA,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5307825-01,estrada l.pink,HANGER ESTRADA,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5307888-01,estrada blue-grey,HANGER ESTRADA,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5307864-01,estrada l.grey,HANGER ESTRADA,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5307837-01,estrada ice,HANGER ESTRADA,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5307836-01,estrada olive,HANGER ESTRADA,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804612-01,smile beige,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804670-01,smile off white,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804664-01,smile l.grey,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804620-01,smile taupe,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804665-01,smile wenge,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804611-01,smile natur,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807922-01,admire powder,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807970-01,admire off white,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807911-01,admire natur,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807983-01,admire l.taupe,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807964-01,admire l.grey,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807937-01,admire ice,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807918-01,admire grey,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807917-01,admire chocolate,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807912-01,admire beige,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807992-01,admire mint,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807984-01,admire aqua,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807929-01,admire l.blue,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804622-01,smile powder,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804683-01,smile l.taupe,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804637-01,smile ice,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804618-01,smile grey,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804617-01,smile chocolate,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804614-01,smile d.beige,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804692-01,smile mint,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804684-01,smile aqua,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804629-01,smile l.blue,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807955-01,admire pink,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804656-01,smile d.pink,WATERFALL SMILE & ADMIRE,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807965-01,admire wenge,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807920-01,admire taupe,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807913-01,admire l.beige,WATERFALL SMILE & ADMIRE,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5251612-01,national beige,WATERFALL NATIONAL,300,74%pan 18%cv 8%wo,33.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5251614-01,national d.beige,WATERFALL NATIONAL,300,74%pan 18%cv 8%wo,33.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5251659-01,national grey-brown,WATERFALL NATIONAL,300,74%pan 18%cv 8%wo,33.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5251620-01,national taupe,WATERFALL NATIONAL,300,74%pan 18%cv 8%wo,33.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5251661-01,national anthracite,WATERFALL NATIONAL,300,74%pan 18%cv 8%wo,33.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5251671-01,national d.grey,WATERFALL NATIONAL,300,74%pan 18%cv 8%wo,33.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5251664-01,national l.grey,WATERFALL NATIONAL,300,74%pan 18%cv 8%wo,33.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5251611-01,national natur,WATERFALL NATIONAL,300,74%pan 18%cv 8%wo,33.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5251670-01,national off white,WATERFALL NATIONAL,300,74%pan 18%cv 8%wo,33.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5652333-01,glory brown,HANGER GLORY,315,63%pan 37%pol,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5652312-01,glory beige,HANGER GLORY,315,63%pan 37%pol,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5652364-01,glory l.grey,HANGER GLORY,315,63%pan 37%pol,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5652337-01,glory ice,HANGER GLORY,315,63%pan 37%pol,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5652310-01,glory white,HANGER GLORY,315,63%pan 37%pol,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
2971609-05,public d.beige,HANGER PUBLIC,320,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
2971609-06,public l.beige,HANGER PUBLIC,320,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
2971609-07,public natur,HANGER PUBLIC,320,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
2971609-08,public white,HANGER PUBLIC,320,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
2971609-09,public ice,HANGER PUBLIC,320,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
2971609-10,public l.grey,HANGER PUBLIC,320,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
2971609-11,public grey,HANGER PUBLIC,320,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
2971609-19,public l.blue,HANGER PUBLIC,320,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
2971609-36,public l.pink,HANGER PUBLIC,320,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
2971609-38,public aqua,HANGER PUBLIC,320,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
2971609-34,public blue-grey,HANGER PUBLIC,320,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
2971609-37,public l.aqua,HANGER PUBLIC,320,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
2971609-33,public extra white,HANGER PUBLIC,320,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
4171609-05,look l.taupe,HANGER LOOK,320,100%pol,9.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4171609-07,look ice,HANGER LOOK,320,100%pol,9.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4171609-08,look white,HANGER LOOK,320,100%pol,9.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4171609-09,look off white,HANGER LOOK,320,100%pol,9.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4171609-10,look ivory,HANGER LOOK,320,100%pol,9.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4171609-11,look natur,HANGER LOOK,320,100%pol,9.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4171609-12,look l.beige,HANGER LOOK,320,100%pol,9.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4171609-16,look taupe,HANGER LOOK,320,100%pol,9.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4171609-28,look blue,HANGER LOOK,320,100%pol,9.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4171609-50,look l.pink,HANGER LOOK,320,100%pol,9.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4001670-01,astra off white,HANGER HOTEL ROOM OFF WHITE,315,100%pol,7.50,woven railroaded,vert.repeat 0,horiz.repeat 0
4005470-01,follow off white,HANGER HOTEL ROOM OFF WHITE,320,100%pol,9.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5306811-02,prisma natur,HANGER HOTEL ROOM OFF WHITE,300,100%pol,11.00,woven railroaded,vert.repeat 0,horiz.repeat 0
7901111-01,faraway natur,HANGER HOTEL ROOM OFF WHITE,320,100%pol,9.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5704370-01,marble off white,HANGER HOTEL ROOM OFF WHITE,330,100%pol,9.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5208370-01,fishbone off white,HANGER HOTEL ROOM OFF WHITE,305,100%pol,9.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5701770-01,rank off white,HANGER HOTEL ROOM OFF WHITE,300,100%pol,8.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5301111-02,usual natur,HANGER HOTEL ROOM OFF WHITE,290,100%pol,8.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6304670-01,etto off white,HANGER HOTEL ROOM OFF WHITE,320,100%pol,9.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5206811-01,until natur,HANGER HOTEL ROOM OFF WHITE,305,100%pol,10.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5174937-01,assetto ice,HANGER HOTEL ROOM OFF WHITE,325,100%pol,5.00,woven railroaded,vert.repeat 0,horiz.repeat 0
35-1209-04,anemos natur,BOOK ECO & LINENS,310,53%lin 47%cot,35.00,woven railroaded,vert.repeat 0,horiz.repeat 0
35-1209-05,anemos off white,BOOK ECO & LINENS,310,53%lin 47%cot,35.00,woven railroaded,vert.repeat 0,horiz.repeat 0
35-1209-06,anemos white,BOOK ECO & LINENS,310,53%lin 47%cot,35.00,woven railroaded,vert.repeat 0,horiz.repeat 0
35-1209-07,anemos ice,BOOK ECO & LINENS,310,53%lin 47%cot,35.00,woven railroaded,vert.repeat 0,horiz.repeat 0
35-1209-08,anemos l.grey,BOOK ECO & LINENS,310,53%lin 47%cot,35.00,woven railroaded,vert.repeat 0,horiz.repeat 0
35-1209-09,anemos grey,BOOK ECO & LINENS,310,53%lin 47%cot,35.00,woven railroaded,vert.repeat 0,horiz.repeat 0
91-1211-01,premiere natur,BOOK ECO & LINENS,290,50%lin 50%pol,29.00,woven railroaded,vert.repeat 0,horiz.repeat 0
91-1237-01,premiere ice,BOOK ECO & LINENS,290,50%lin 50%pol,29.00,woven railroaded,vert.repeat 0,horiz.repeat 0
91-1264-01,premiere l.grey,BOOK ECO & LINENS,290,50%lin 50%pol,29.00,woven railroaded,vert.repeat 0,horiz.repeat 0
56-1210-01,downtown white,BOOK ECO & LINENS,320,100%lin,40.00,woven railroaded,vert.repeat 0,horiz.repeat 0
56-1211-01,downtown natur,BOOK ECO & LINENS,320,100%lin,40.00,woven railroaded,vert.repeat 0,horiz.repeat 0
56-1220-01,downtown taupe,BOOK ECO & LINENS,320,100%lin,40.00,woven railroaded,vert.repeat 0,horiz.repeat 0
56-1237-01,downtown ice,BOOK ECO & LINENS,320,100%lin,40.00,woven railroaded,vert.repeat 0,horiz.repeat 0
56-1218-01,downtown grey,BOOK ECO & LINENS,320,100%lin,40.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3501210-01,jasmine white,BOOK ECO & LINENS,310,100%lin,35.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3501211-01,jasmine natur,BOOK ECO & LINENS,310,100%lin,35.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3501220-01,jasmine taupe,BOOK ECO & LINENS,310,100%lin,35.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3501212-01,jasmine beige,BOOK ECO & LINENS,310,100%lin,35.00,woven railroaded,vert.repeat 0,horiz.repeat 0
2201211-01,buenos aires natur,BOOK ECO & LINENS,300,50%lin 50%pol,38.00,woven railroaded,vert.repeat 0,horiz.repeat 0
2201210-01,buenos aires white,BOOK ECO & LINENS,300,50%lin 50%pol,38.00,woven railroaded,vert.repeat 0,horiz.repeat 0
2201237-01,buenos aires ice,BOOK ECO & LINENS,300,50%lin 50%pol,38.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3501210-03,easy white,BOOK ECO & LINENS,295,58%lin 42%cot,40.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3501270-01,easy off white,BOOK ECO & LINENS,295,58%lin 42%cot,40.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3501264-01,easy l.grey,BOOK ECO & LINENS,295,58%lin 42%cot,40.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3501237-01,easy ice,BOOK ECO & LINENS,295,58%lin 42%cot,40.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4801210-03,obvious white,BOOK ECO & LINENS,300,100%lin,45.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4801211-05,obvious natur,BOOK ECO & LINENS,300,100%lin,45.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4801264-01,obvious l.grey,BOOK ECO & LINENS,300,100%lin,45.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101210-02,zen white,BOOK ECO & LINENS,300,56%pol 44%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101270-02,zen off white,BOOK ECO & LINENS,300,56%pol 44%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101211-02,zen natur,BOOK ECO & LINENS,300,56%pol 44%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101283-02,zen l.taupe,BOOK ECO & LINENS,300,56%pol 44%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101220-01,zen taupe,BOOK ECO & LINENS,300,56%pol 44%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101264-02,zen l.grey,BOOK ECO & LINENS,300,56%pol 44%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101237-02,zen ice,BOOK ECO & LINENS,300,56%pol 44%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101289-02,zen stone,BOOK ECO & LINENS,300,56%pol 44%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101210-01,quiet white,BOOK ECO & LINENS,300,55%pol 45%lin,21.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101270-01,quiet off white,BOOK ECO & LINENS,300,55%pol 45%lin,21.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101211-01,quiet natur,BOOK ECO & LINENS,300,55%pol 45%lin,21.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101283-01,quiet l.taupe,BOOK ECO & LINENS,300,55%pol 45%lin,21.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101264-01,quiet l.grey,BOOK ECO & LINENS,300,55%pol 45%lin,21.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101237-01,quiet ice,BOOK ECO & LINENS,300,55%pol 45%lin,21.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101289-01,quiet stone,BOOK ECO & LINENS,300,55%pol 45%lin,21.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3501218-01,jasmine grey,BOOK ECO & LINENS,310,100%lin,35.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3501213-02,jasmine l.beige,BOOK ECO & LINENS,310,100%lin,35.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4801218-08,obvious grey,BOOK ECO & LINENS,300,100%lin,45.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4801276-01,obvious ivory,BOOK ECO & LINENS,300,100%lin,45.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4801219-02,obvious sand,BOOK ECO & LINENS,300,100%lin,45.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4801289-01,obvious stone,BOOK ECO & LINENS,300,100%lin,45.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4801224-01,obvious d.taupe,BOOK ECO & LINENS,300,100%lin,45.00,woven railroaded,vert.repeat 0,horiz.repeat 0
8203219-01,simplicity sand,BOOK ECO & LINENS,310,60%pol 40%lin,26.00,woven railroaded,vert.repeat 0,horiz.repeat 0
8203272-01,simplicity ecru,BOOK ECO & LINENS,310,60%pol 40%lin,26.00,woven railroaded,vert.repeat 0,horiz.repeat 0
8203270-01,simplicity off white,BOOK ECO & LINENS,310,60%pol 40%lin,26.00,woven railroaded,vert.repeat 0,horiz.repeat 0
8203210-01,simplicity white,BOOK ECO & LINENS,310,60%pol 40%lin,26.00,woven railroaded,vert.repeat 0,horiz.repeat 0
8203237-01,simplicity ice,BOOK ECO & LINENS,310,60%pol 40%lin,26.00,woven railroaded,vert.repeat 0,horiz.repeat 0
8203264-01,simplicity l.grey,BOOK ECO & LINENS,310,60%pol 40%lin,26.00,woven railroaded,vert.repeat 0,horiz.repeat 0
8203290-01,simplicity l.aqua,BOOK ECO & LINENS,310,60%pol 40%lin,26.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3501210-06,kind white,BOOK ECO & LINENS,300,100%lin,57.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3501211-06,kind natur,BOOK ECO & LINENS,300,100%lin,57.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3501220-06,kind taupe,BOOK ECO & LINENS,300,100%lin,57.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3501220-05,passion taupe,BOOK ECO & LINENS,310,100%lin,47.00,woven railroaded,vert.repeat 0,horiz.repeat 0
