article,name,collection,width_cm,composition,price_eur,direction,vert_repeat,horiz_repeat
3501210-05,passion white,BOOK ECO & LINENS,310,100%lin,47.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3501211-05,passion natur,BOOK ECO & LINENS,310,100%lin,47.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3501210-04,gentle white,BOOK ECO & LINENS,320,100%lin,42.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3501211-04,gentle natur,BOOK ECO & LINENS,320,100%lin,42.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3501220-04,gentle taupe,BOOK ECO & LINENS,320,100%lin,42.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5141292-01,prefer mint,BOOK ECO & LINENS,300,100%lin,26.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5141287-01,prefer green tea,BOOK ECO & LINENS,300,100%lin,26.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5141294-01,prefer d.aqua,BOOK ECO & LINENS,300,100%lin,26.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5141237-01,prefer ice,BOOK ECO & LINENS,300,100%lin,26.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5141210-01,prefer white,BOOK ECO & LINENS,300,100%lin,26.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5141211-01,prefer natur,BOOK ECO & LINENS,300,100%lin,26.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5141219-01,prefer sand,BOOK ECO & LINENS,300,100%lin,26.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5141212-01,prefer beige,BOOK ECO & LINENS,300,100%lin,26.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5141264-01,prefer l.grey,BOOK ECO & LINENS,300,100%lin,26.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5141268-01,prefer elephant,BOOK ECO & LINENS,300,100%lin,26.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5141220-01,prefer taupe,BOOK ECO & LINENS,300,100%lin,26.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101229-02,zen l.blue,BOOK ECO & LINENS,300,56%pol 44%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101222-02,zen powder,BOOK ECO & LINENS,300,56%pol 44%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101284-02,zen aqua,BOOK ECO & LINENS,300,56%pol 44%lin,25.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101284-01,quiet aqua,BOOK ECO & LINENS,300,55%pol 45%lin,21.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101229-01,quiet l.blue,BOOK ECO & LINENS,300,55%pol 45%lin,21.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9101222-01,quiet powder,BOOK ECO & LINENS,300,55%pol 45%lin,21.00,woven railroaded,vert.repeat 0,horiz.repeat 0
91-1270-01,premiere off white,BOOK ECO & LINENS,290,50%lin 50%pol,29.00,woven railroaded,vert.repeat 0,horiz.repeat 0
91-1290-01,premiere l.aqua,BOOK ECO & LINENS,290,50%lin 50%pol,29.00,woven railroaded,vert.repeat 0,horiz.repeat 0
91-1272-01,premiere ecru,BOOK ECO & LINENS,290,50%lin 50%pol,29.00,woven railroaded,vert.repeat 0,horiz.repeat 0
91-1283-01,premiere l.taupe,BOOK ECO & LINENS,290,50%lin 50%pol,29.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4893264-01,avra l.grey,BOOK ECO & LINENS,300,100%lin,55.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4893284-01,avra aqua,BOOK ECO & LINENS,300,100%lin,55.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4893211-01,avra natur,BOOK ECO & LINENS,300,100%lin,55.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4893210-01,avra white,BOOK ECO & LINENS,300,100%lin,55.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4893218-01,avra grey,BOOK ECO & LINENS,300,100%lin,55.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4893220-01,avra taupe,BOOK ECO & LINENS,300,100%lin,55.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4893219-01,avra sand,BOOK ECO & LINENS,300,100%lin,55.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"5154683-01","castello l.taupe","BOOK ECO & LINENS",305,"26pol 26pan 26cot 11li 11cv",40.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"5154611-01","castello natur","BOOK ECO & LINENS",305,"26pol 26pan 26cot 11li 11cv",40.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"5154664-01","castello l.grey-natur","BOOK ECO & LINENS",305,"26pol 26pan 26cot 11li 11cv",40.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6503217-01,linea chocolate,BOOK ECO & LINENS,320,70%pol 30%lin,23.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6503219-01,linea sand,BOOK ECO & LINENS,320,70%pol 30%lin,23.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6503211-01,linea natur,BOOK ECO & LINENS,320,70%pol 30%lin,23.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6503210-01,linea white,BOOK ECO & LINENS,320,70%pol 30%lin,23.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6503237-01,linea ice,BOOK ECO & LINENS,320,70%pol 30%lin,23.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6503236-01,linea olive,BOOK ECO & LINENS,320,70%pol 30%lin,23.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4893292-01,avra mint,BOOK ECO & LINENS,300,100%lin,55.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4891292-01,tiffany mint,BOOK ECO & LINENS,300,100%lin,50.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4891284-01,tiffany aqua,BOOK ECO & LINENS,300,100%lin,50.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4891264-01,tiffany l.grey,BOOK ECO & LINENS,300,100%lin,50.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4891289-01,tiffany stone,BOOK ECO & LINENS,300,100%lin,50.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4891283-01,tiffany l.taupe,BOOK ECO & LINENS,300,100%lin,50.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4891210-01,tiffany white,BOOK ECO & LINENS,300,100%lin,50.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4891222-01,tiffany powder,BOOK ECO & LINENS,300,100%lin,50.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4891287-01,tiffany green tea,BOOK ECO & LINENS,300,100%lin,50.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5231222-01,retro powder,BOOK ECO & LINENS,300,51%lin 49%cot,30.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5231250-01,retro sky blue,BOOK ECO & LINENS,300,51%lin 49%cot,30.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5231287-01,retro green tea,BOOK ECO & LINENS,300,51%lin 49%cot,30.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5231292-01,retro mint,BOOK ECO & LINENS,300,51%lin 49%cot,30.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5231217-01,retro chocolate,BOOK ECO & LINENS,300,51%lin 49%cot,30.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5231257-01,retro mocha,BOOK ECO & LINENS,300,51%lin 49%cot,30.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5231219-01,retro sand,BOOK ECO & LINENS,300,51%lin 49%cot,30.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5231211-01,retro natur,BOOK ECO & LINENS,300,51%lin 49%cot,30.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5231270-01,retro off white,BOOK ECO & LINENS,300,51%lin 49%cot,30.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4891270-01,tiffany off white,BOOK ECO & LINENS,300,100%lin,50.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"5951610-01","faith white","BOOK ECO & LINENS",310,"36pan 22lin 22cly 16pol 4cot",22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"5951611-01","faith natur","BOOK ECO & LINENS",310,"36pan 22lin 22cly 16pol 4cot",22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"5951619-01","faith sand","BOOK ECO & LINENS",310,"36pan 22lin 22cly 16pol 4cot",22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"5951683-01","faith l.taupe","BOOK ECO & LINENS",310,"36pan 22lin 22cly 16pol 4cot",22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"5951664-01","faith l.grey","BOOK ECO & LINENS",310,"36pan 22lin 22cly 16pol 4cot",22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"5951618-01","faith grey","BOOK ECO & LINENS",310,"36pan 22lin 22cly 16pol 4cot",22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"5951650-01","faith sky blue","BOOK ECO & LINENS",310,"36pan 22lin 22cly 16pol 4cot",22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"5951692-01","faith mint","BOOK ECO & LINENS",310,"36pan 22lin 22cly 16pol 4cot",22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"5951690-01","faith l.aqua","BOOK ECO & LINENS",310,"36pan 22lin 22cly 16pol 4cot",22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"5951622-01","faith powder","BOOK ECO & LINENS",310,"36pan 22lin 22cly 16pol 4cot",22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"5951625-01","faith l.pink","BOOK ECO & LINENS",310,"36pan 22lin 22cly 16pol 4cot",22.00,woven railroaded,vert.repeat 0,horiz.repeat 0
1274909-04,assos grey,BOOK DELICATE VOLUME 1,325,100%pol,6.00,woven railroaded,vert.repeat 0,horiz.repeat 0
1274909-05,assos l.grey,BOOK DELICATE VOLUME 1,325,100%pol,6.00,woven railroaded,vert.repeat 0,horiz.repeat 0
1274909-06,assos ice,BOOK DELICATE VOLUME 1,325,100%pol,6.00,woven railroaded,vert.repeat 0,horiz.repeat 0
1274909-07,assos white,BOOK DELICATE VOLUME 1,325,100%pol,6.00,woven railroaded,vert.repeat 0,horiz.repeat 0
1274909-08,assos natur,BOOK DELICATE VOLUME 1,325,100%pol,6.00,woven railroaded,vert.repeat 0,horiz.repeat 0
1274909-23,assos ecru,BOOK DELICATE VOLUME 1,325,100%pol,6.00,woven railroaded,vert.repeat 0,horiz.repeat 0
75-1609-01,bright sand,BOOK DELICATE VOLUME 1,325,100%pol,17.60,woven railroaded,vert.repeat 0,horiz.repeat 0
75-1609-02,bright grey,BOOK DELICATE VOLUME 1,325,100%pol,17.60,woven railroaded,vert.repeat 0,horiz.repeat 0
75-1609-05,bright off white,BOOK DELICATE VOLUME 1,325,100%pol,17.60,woven railroaded,vert.repeat 0,horiz.repeat 0
75-1609-06,bright natur,BOOK DELICATE VOLUME 1,325,100%pol,17.60,woven railroaded,vert.repeat 0,horiz.repeat 0
75-1609-14,bright l.beige,BOOK DELICATE VOLUME 1,325,100%pol,17.60,woven railroaded,vert.repeat 0,horiz.repeat 0
3471609-12,dream natur,BOOK DELICATE VOLUME 1,315,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3471609-13,dream off white,BOOK DELICATE VOLUME 1,315,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3471609-14,dream white,BOOK DELICATE VOLUME 1,315,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3471609-15,dream silver,BOOK DELICATE VOLUME 1,315,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3471609-16,dream l.grey,BOOK DELICATE VOLUME 1,315,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
75-1609-19,bright ecru,BOOK DELICATE VOLUME 1,325,100%pol,17.60,woven railroaded,vert.repeat 0,horiz.repeat 0
"8151737-01","skepsis ice","BOOK DELICATE VOLUME 1",300,71%pan 29%pol,17.90,woven railroaded,vert.repeat 0,"horiz.repeat 6,5cm-2 1/2"""
"8151713-01","skepsis l.beige","BOOK DELICATE VOLUME 1",300,71%pan 29%pol,17.90,woven railroaded,vert.repeat 0,"horiz.repeat 6,5cm-2 1/2"""
"8151710-01","skepsis white","BOOK DELICATE VOLUME 1",300,71%pan 29%pol,17.90,woven railroaded,vert.repeat 0,"horiz.repeat 6,5cm-2 1/2"""
3471613-01,dream l.beige,BOOK DELICATE VOLUME 1,315,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3471670-01,dream off white,BOOK DELICATE VOLUME 1,315,100%pol,11.50,woven railroaded,vert.repeat 0,horiz.repeat 0
7701610-01,lucida white,BOOK DELICATE VOLUME 1,300,100%pol,17.00,woven railroaded,vert.repeat 0,horiz.repeat 0
7701613-01,lucida l.beige,BOOK DELICATE VOLUME 1,300,100%pol,17.00,woven railroaded,vert.repeat 0,horiz.repeat 0
7701637-01,lucida ice,BOOK DELICATE VOLUME 1,300,100%pol,17.00,woven railroaded,vert.repeat 0,horiz.repeat 0
7701664-01,lucida l.grey,BOOK DELICATE VOLUME 1,300,100%pol,17.00,woven railroaded,vert.repeat 0,horiz.repeat 0
7701620-01,lucida taupe,BOOK DELICATE VOLUME 1,300,100%pol,17.00,woven railroaded,vert.repeat 0,horiz.repeat 0
8655370-01,star off white,BOOK DELICATE VOLUME 1,310,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
8655319-01,star sand,BOOK DELICATE VOLUME 1,310,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
8655337-01,star ice,BOOK DELICATE VOLUME 1,310,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
8655361-01,star anthracite,BOOK DELICATE VOLUME 1,310,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"8965364-01","shine l.grey","BOOK DELICATE VOLUME 1",310,"54%pol 41%pan 5%cot",16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"8965337-01","shine ice","BOOK DELICATE VOLUME 1",310,"54%pol 41%pan 5%cot",16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"8965370-01","shine off white","BOOK DELICATE VOLUME 1",310,"54%pol 41%pan 5%cot",16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"8965310-01","shine white","BOOK DELICATE VOLUME 1",310,"54%pol 41%pan 5%cot",16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3904637-01,satellite ice,BOOK DELICATE VOLUME 1,300,100%pol,13.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3904664-01,satellite l.grey,BOOK DELICATE VOLUME 1,300,100%pol,13.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3904618-01,satellite grey,BOOK DELICATE VOLUME 1,300,100%pol,13.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3904610-01,satellite white,BOOK DELICATE VOLUME 1,300,100%pol,13.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3904611-01,satellite natur,BOOK DELICATE VOLUME 1,300,100%pol,13.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3904620-01,satellite taupe,BOOK DELICATE VOLUME 1,300,100%pol,13.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"1851689-01","lucent stone","BOOK DELICATE VOLUME 1",305,"66%pol 20%pan 11%cot 3%pa",20.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"1461710-01","chill white","BOOK DELICATE VOLUME 1",300,71%pan 29%pol,16.50,woven railroaded,vert.repeat 0,"horiz.repeat 8cm-3"""
"1461737-01","chill ice","BOOK DELICATE VOLUME 1",300,71%pan 29%pol,16.50,woven railroaded,vert.repeat 0,"horiz.repeat 8cm-3"""
"1461770-01","chill off white","BOOK DELICATE VOLUME 1",300,71%pan 29%pol,16.50,woven railroaded,vert.repeat 0,"horiz.repeat 8cm-3"""
"1461738-01","chill silver","BOOK DELICATE VOLUME 1",300,71%pan 29%pol,16.50,woven railroaded,vert.repeat 0,"horiz.repeat 8cm-3"""
"1851613-01","lucent l.beige","BOOK DELICATE VOLUME 1",305,"66%pol 20%pan 11%cot 3%pa",20.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"1851688-01","lucent blue-grey","BOOK DELICATE VOLUME 1",305,"66%pol 20%pan 11%cot 3%pa",20.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"6501218-01","xenon grey","BOOK DELICATE VOLUME 1",320,"20%lin 75%pol 5%poliamide",19.80,woven railroaded,vert.repeat 0,horiz.repeat 0
"6501238-01","xenon silver","BOOK DELICATE VOLUME 1",320,"20%lin 75%pol 5%poliamide",19.80,woven railroaded,vert.repeat 0,horiz.repeat 0
"6501237-01","xenon ice","BOOK DELICATE VOLUME 1",320,"20%lin 75%pol 5%poliamide",19.80,woven railroaded,vert.repeat 0,horiz.repeat 0
"6501210-01","xenon white","BOOK DELICATE VOLUME 1",320,"20%lin 75%pol 5%poliamide",19.80,woven railroaded,vert.repeat 0,horiz.repeat 0
"6501270-01","xenon off white","BOOK DELICATE VOLUME 1",320,"20%lin 75%pol 5%poliamide",19.80,woven railroaded,vert.repeat 0,horiz.repeat 0
"6501212-01","xenon beige","BOOK DELICATE VOLUME 1",320,"20%lin 75%pol 5%poliamide",19.80,woven railroaded,vert.repeat 0,horiz.repeat 0
"6501217-01","xenon chocolate","BOOK DELICATE VOLUME 1",320,"20%lin 75%pol 5%poliamide",19.80,woven railroaded,vert.repeat 0,horiz.repeat 0
5301616-01,mirror bronze,BOOK DELICATE VOLUME 1,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5301691-01,mirror l.gold,BOOK DELICATE VOLUME 1,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5301610-03,mirror white,BOOK DELICATE VOLUME 1,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5301620-03,mirror taupe,BOOK DELICATE VOLUME 1,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5301637-01,mirror ice,BOOK DELICATE VOLUME 1,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5305320-02,atlantic taupe,BOOK DELICATE VOLUME 1,300,100%pol,20.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5305337-02,atlantic ice,BOOK DELICATE VOLUME 1,300,100%pol,20.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5305313-01,atlantic l.beige,BOOK DELICATE VOLUME 1,300,100%pol,20.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5305310-02,atlantic white,BOOK DELICATE VOLUME 1,300,100%pol,20.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5305329-01,atlantic l.blue,BOOK DELICATE VOLUME 1,300,100%pol,20.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"5305367-01","atlantic black&white","BOOK DELICATE VOLUME 1",300,100%pol,20.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"1851610-01","lucent white","BOOK DELICATE VOLUME 1",305,"66%pol 20%pan 11%cot 3%pa",20.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"1851638-01","lucent silver","BOOK DELICATE VOLUME 1",305,"66%pol 20%pan 11%cot 3%pa",20.50,woven railroaded,vert.repeat 0,horiz.repeat 0
6305338-01,happen silver,BOOK DELICATE VOLUME 1,300,100%pol,14.80,woven railroaded,vert.repeat 0,horiz.repeat 0
6305391-01,happen l.gold,BOOK DELICATE VOLUME 1,300,100%pol,14.80,woven railroaded,vert.repeat 0,horiz.repeat 0
6305318-01,happen grey,BOOK DELICATE VOLUME 1,300,100%pol,14.80,woven railroaded,vert.repeat 0,horiz.repeat 0
6305316-01,happen bronze,BOOK DELICATE VOLUME 1,300,100%pol,14.80,woven railroaded,vert.repeat 0,horiz.repeat 0
6305368-01,happen elephant,BOOK DELICATE VOLUME 1,300,100%pol,14.80,woven railroaded,vert.repeat 0,horiz.repeat 0
6305361-01,happen anthracite,BOOK DELICATE VOLUME 1,300,100%pol,14.80,woven railroaded,vert.repeat 0,horiz.repeat 0
1961610-01,rapid white,BOOK DELICATE VOLUME 1,300,87%pol 13%cot,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
1961637-01,rapid ice,BOOK DELICATE VOLUME 1,300,87%pol 13%cot,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"7707620-01","silent taupe","BOOK DELICATE VOLUME 1",300,"83%acr 10%wo 7%lurex",30.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"7707617-01","silent chocolate","BOOK DELICATE VOLUME 1",300,"83%acr 10%wo 7%lurex",30.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"7707614-01","silent d.beige","BOOK DELICATE VOLUME 1",300,"83%acr 10%wo 7%lurex",30.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"7707613-01","silent l.beige","BOOK DELICATE VOLUME 1",300,"83%acr 10%wo 7%lurex",30.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"7707619-01","silent sand","BOOK DELICATE VOLUME 1",300,"83%acr 10%wo 7%lurex",30.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"7707670-01","silent off white","BOOK DELICATE VOLUME 1",300,"83%acr 10%wo 7%lurex",30.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"7707637-01","silent ice","BOOK DELICATE VOLUME 1",300,"83%acr 10%wo 7%lurex",30.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"7707618-01","silent grey","BOOK DELICATE VOLUME 1",300,"83%acr 10%wo 7%lurex",30.50,woven railroaded,vert.repeat 0,horiz.repeat 0
7704664-01,iris l.grey,BOOK DELICATE VOLUME 1,320,100%pol,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
7704618-01,iris grey,BOOK DELICATE VOLUME 1,320,100%pol,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
7704637-01,iris ice,BOOK DELICATE VOLUME 1,320,100%pol,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
7704611-01,iris natur,BOOK DELICATE VOLUME 1,320,100%pol,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
7704610-01,iris white,BOOK DELICATE VOLUME 1,320,100%pol,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
7704672-01,iris ecru,BOOK DELICATE VOLUME 1,320,100%pol,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3581685-01,boutique pearl,BOOK DELICATE VOLUME 1,310,100%pol,34.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3581619-01,boutique sand,BOOK DELICATE VOLUME 1,310,100%pol,34.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3581617-01,boutique chocolate,BOOK DELICATE VOLUME 1,310,100%pol,34.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3581636-01,boutique olive,BOOK DELICATE VOLUME 1,310,100%pol,34.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3581691-01,boutique gold,BOOK DELICATE VOLUME 1,310,100%pol,34.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3581670-01,boutique off white,BOOK DELICATE VOLUME 1,310,100%pol,34.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3581638-01,boutique silver,BOOK DELICATE VOLUME 1,310,100%pol,34.00,woven railroaded,vert.repeat 0,horiz.repeat 0
