article,name,collection,width_cm,composition,price_eur,direction,vert_repeat,horiz_repeat
3581618-01,boutique grey,BOOK DELICATE VOLUME 1,310,100%pol,34.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3581661-01,boutique anthracite,BOOK DELICATE VOLUME 1,310,100%pol,34.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"4954613-01","capital l.beige","BOOK DELICATE VOLUME 1",300,"64%pol 32%pan 4%cot",16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"4954670-01","capital off white","BOOK DELICATE VOLUME 1",300,"64%pol 32%pan 4%cot",16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"4954610-01","capital white","BOOK DELICATE VOLUME 1",300,"64%pol 32%pan 4%cot",16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"4954611-01","capital natur","BOOK DELICATE VOLUME 1",300,"64%pol 32%pan 4%cot",16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"4954637-01","capital ice","BOOK DELICATE VOLUME 1",300,"64%pol 32%pan 4%cot",16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3806811-01,loft natur,BOOK DELICATE VOLUME 1,320,100%pol,13.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3806870-01,loft off white,BOOK DELICATE VOLUME 1,320,100%pol,13.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3806813-01,loft l.beige,BOOK DELICATE VOLUME 1,320,100%pol,13.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3806837-01,loft ice,BOOK DELICATE VOLUME 1,320,100%pol,13.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3806864-01,loft l.grey,BOOK DELICATE VOLUME 1,320,100%pol,13.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5308413-01,reflection l.beige,BOOK DELICATE VOLUME 1,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5308411-01,reflection natur,BOOK DELICATE VOLUME 1,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5308470-01,reflection off white,BOOK DELICATE VOLUME 1,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5308490-01,reflection l.aqua,BOOK DELICATE VOLUME 1,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5308437-01,reflection ice,BOOK DELICATE VOLUME 1,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5308464-01,reflection l.grey,BOOK DELICATE VOLUME 1,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5308418-01,reflection grey,BOOK DELICATE VOLUME 1,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
8655371-01,star d.grey,BOOK DELICATE VOLUME 1,310,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
8655310-01,star white,BOOK DELICATE VOLUME 1,310,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
8655312-01,star beige,BOOK DELICATE VOLUME 1,310,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6801619-01,tonic sand,BOOK DELICATE VOLUME 1,315,100%pol,12.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6801637-01,tonic ice,BOOK DELICATE VOLUME 1,315,100%pol,12.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6801620-01,tonic taupe,BOOK DELICATE VOLUME 1,315,100%pol,12.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6801670-01,tonic off white,BOOK DELICATE VOLUME 1,315,100%pol,12.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6801610-01,tonic white,BOOK DELICATE VOLUME 1,315,100%pol,12.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"5951719-01","inverno sand","BOOK DELICATE VOLUME 1",310,"54%pan 26%cot 20%pol",40.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"5951720-01","inverno taupe","BOOK DELICATE VOLUME 1",310,"54%pan 26%cot 20%pol",40.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"5951779-01","inverno black-beige","BOOK DELICATE VOLUME 1",310,"54%pan 26%cot 20%pol",40.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3101618-01,ask grey,BOOK DELICATE VOLUME 1,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3101664-01,ask l.grey,BOOK DELICATE VOLUME 1,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3101638-01,ask silver,BOOK DELICATE VOLUME 1,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3101610-01,ask white,BOOK DELICATE VOLUME 1,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3101654-01,ask ochre,BOOK DELICATE VOLUME 1,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3101652-01,ask salmon,BOOK DELICATE VOLUME 1,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3101612-01,ask beige,BOOK DELICATE VOLUME 1,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3101616-01,ask bronze,BOOK DELICATE VOLUME 1,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3101636-01,ask olive,BOOK DELICATE VOLUME 1,320,100%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4653064-01,irregular l.grey,BOOK DELICATE VOLUME 2,290,100%pol,22.90,woven railroaded,vert.repeat 0,horiz.repeat 0
4653037-01,irregular ice,BOOK DELICATE VOLUME 2,290,100%pol,22.90,woven railroaded,vert.repeat 0,horiz.repeat 0
4653010-01,irregular white,BOOK DELICATE VOLUME 2,290,100%pol,22.90,woven railroaded,vert.repeat 0,horiz.repeat 0
5303010-01,peace white,BOOK DELICATE VOLUME 2,290,100%pol,20.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5303013-01,peace l.beige,BOOK DELICATE VOLUME 2,290,100%pol,20.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5303018-01,peace grey,BOOK DELICATE VOLUME 2,290,100%pol,20.50,woven railroaded,vert.repeat 0,horiz.repeat 0
7141676-01,aesthetic ivory,BOOK DELICATE VOLUME 2,300,100%pol,15.90,woven railroaded,vert.repeat 0,horiz.repeat 0
7141637-01,aesthetic ice,BOOK DELICATE VOLUME 2,300,100%pol,15.90,woven railroaded,vert.repeat 0,horiz.repeat 0
7141670-01,aesthetic off white,BOOK DELICATE VOLUME 2,300,100%pol,15.90,woven railroaded,vert.repeat 0,horiz.repeat 0
7141610-01,aesthetic white,BOOK DELICATE VOLUME 2,300,100%pol,15.90,woven railroaded,vert.repeat 0,horiz.repeat 0
6301670-02,home off white,BOOK DELICATE VOLUME 2,305,100%pol,13.80,woven railroaded,vert.repeat 0,horiz.repeat 0
6301610-01,home white,BOOK DELICATE VOLUME 2,305,100%pol,13.80,woven railroaded,vert.repeat 0,horiz.repeat 0
6301672-01,home ecru,BOOK DELICATE VOLUME 2,305,100%pol,13.80,woven railroaded,vert.repeat 0,horiz.repeat 0
6301611-01,home natur,BOOK DELICATE VOLUME 2,305,100%pol,13.80,woven railroaded,vert.repeat 0,horiz.repeat 0
8541670-01,pulse off white,BOOK DELICATE VOLUME 2,305,40%pol 60%vis,17.40,woven railroaded,vert.repeat 0,horiz.repeat 0
8541611-01,pulse natur,BOOK DELICATE VOLUME 2,305,40%pol 60%vis,17.40,woven railroaded,vert.repeat 0,horiz.repeat 0
8541638-01,pulse silver,BOOK DELICATE VOLUME 2,305,40%pol 60%vis,17.40,woven railroaded,vert.repeat 0,horiz.repeat 0
8161637-01,serenity ice,BOOK DELICATE VOLUME 2,300,96%pan 4%pol,21.00,woven railroaded,vert.repeat 0,horiz.repeat 0
8161611-01,serenity natur,BOOK DELICATE VOLUME 2,300,96%pan 4%pol,21.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751618-01,orama grey,BOOK DELICATE VOLUME 2,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751619-01,orama sand,BOOK DELICATE VOLUME 2,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751664-01,orama l.grey,BOOK DELICATE VOLUME 2,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751611-01,orama natur,BOOK DELICATE VOLUME 2,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751612-01,orama beige,BOOK DELICATE VOLUME 2,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
9751683-01,orama l.taupe,BOOK DELICATE VOLUME 2,300,59%cot 41%pol,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
1571637-01,alone ice,BOOK DELICATE VOLUME 2,305,100%pol,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1571610-01,alone white,BOOK DELICATE VOLUME 2,305,100%pol,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1571670-01,alone off white,BOOK DELICATE VOLUME 2,305,100%pol,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1571683-01,alone l.taupe,BOOK DELICATE VOLUME 2,305,100%pol,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1571620-01,alone taupe,BOOK DELICATE VOLUME 2,305,100%pol,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1571689-01,alone stone,BOOK DELICATE VOLUME 2,305,100%pol,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1361611-01,leomar natur,BOOK DELICATE VOLUME 2,315,100%pan,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"1365311-01","nomad natur","BOOK DELICATE VOLUME 2",305,"54%pol 33%cot 13%pan",18.60,woven railroaded,"vert.repeat 5,5cm-2""",horiz.repeat 0
"1365383-01","nomad l.taupe","BOOK DELICATE VOLUME 2",305,"54%pol 33%cot 13%pan",18.60,woven railroaded,"vert.repeat 5,5cm-2""",horiz.repeat 0
"1365364-01","nomad l.grey","BOOK DELICATE VOLUME 2",305,"54%pol 33%cot 13%pan",18.60,woven railroaded,"vert.repeat 5,5cm-2""",horiz.repeat 0
1352383-01,tempo l.taupe,BOOK DELICATE VOLUME 2,315,89%pan 7%pol 4%pa,13.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1352370-01,tempo off white,BOOK DELICATE VOLUME 2,315,89%pan 7%pol 4%pa,13.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1251583-01,tomorrow l.taupe,BOOK DELICATE VOLUME 2,300,90%pan 10%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
1251570-01,tomorrow off white,BOOK DELICATE VOLUME 2,300,90%pan 10%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
1551511-01,clash natur,BOOK DELICATE VOLUME 2,300,51%cot 49%pol,17.00,woven railroaded,vert.repeat 0,horiz.repeat 0
1551537-01,clash ice,BOOK DELICATE VOLUME 2,300,51%cot 49%pol,17.00,woven railroaded,vert.repeat 0,horiz.repeat 0
1551564-01,clash l.grey,BOOK DELICATE VOLUME 2,300,51%cot 49%pol,17.00,woven railroaded,vert.repeat 0,horiz.repeat 0
1562318-01,hot grey,BOOK DELICATE VOLUME 2,315,89%pan 6%pol 5%pa,14.80,woven railroaded,vert.repeat 0,horiz.repeat 0
1562319-01,hot sand,BOOK DELICATE VOLUME 2,315,89%pan 6%pol 5%pa,14.80,woven railroaded,vert.repeat 0,horiz.repeat 0
1562364-01,hot l.grey,BOOK DELICATE VOLUME 2,315,89%pan 6%pol 5%pa,14.80,woven railroaded,vert.repeat 0,horiz.repeat 0
1562310-01,hot white,BOOK DELICATE VOLUME 2,315,89%pan 6%pol 5%pa,14.80,woven railroaded,vert.repeat 0,horiz.repeat 0
"1354670-01","promise off white","BOOK DELICATE VOLUME 2",300,"39pan 29tencel 20pol 12wo",14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"1354611-01","promise natur","BOOK DELICATE VOLUME 2",300,"39pan 29tencel 20pol 12wo",14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"1354610-01","promise white","BOOK DELICATE VOLUME 2",300,"39pan 29tencel 20pol 12wo",14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"1354664-01","promise l.grey","BOOK DELICATE VOLUME 2",300,"39pan 29tencel 20pol 12wo",14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"1354637-01","promise ice","BOOK DELICATE VOLUME 2",300,"39pan 29tencel 20pol 12wo",14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"1354618-01","promise grey","BOOK DELICATE VOLUME 2",300,"39pan 29tencel 20pol 12wo",14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"1354613-01","promise l.beige","BOOK DELICATE VOLUME 2",300,"39pan 29tencel 20pol 12wo",14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1864611-01,lovely natur,BOOK DELICATE VOLUME 2,325,95%pan 5%pol,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1864618-01,lovely grey,BOOK DELICATE VOLUME 2,325,95%pan 5%pol,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1864664-01,lovely l.grey,BOOK DELICATE VOLUME 2,325,95%pan 5%pol,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1864610-01,lovely white,BOOK DELICATE VOLUME 2,325,95%pan 5%pol,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1864637-01,lovely ice,BOOK DELICATE VOLUME 2,325,95%pan 5%pol,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1864612-01,lovely beige,BOOK DELICATE VOLUME 2,325,95%pan 5%pol,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1864683-01,lovely l.taupe,BOOK DELICATE VOLUME 2,325,95%pan 5%pol,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1864620-01,lovely taupe,BOOK DELICATE VOLUME 2,325,95%pan 5%pol,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"1561670-01","mont off white","BOOK DELICATE VOLUME 2",300,"62%pan 34%pol 4%cot",16.50,woven railroaded,vert.repeat 0,"horiz.repeat 3cm-1"""
"1561613-01","mont l.beige","BOOK DELICATE VOLUME 2",300,"62%pan 34%pol 4%cot",16.50,woven railroaded,vert.repeat 0,"horiz.repeat 3cm-1"""
"1561637-01","mont ice","BOOK DELICATE VOLUME 2",300,"62%pan 34%pol 4%cot",16.50,woven railroaded,vert.repeat 0,"horiz.repeat 3cm-1"""
"1561664-01","mont l.grey","BOOK DELICATE VOLUME 2",300,"62%pan 34%pol 4%cot",16.50,woven railroaded,vert.repeat 0,"horiz.repeat 3cm-1"""
"1561689-01","mont stone","BOOK DELICATE VOLUME 2",300,"62%pan 34%pol 4%cot",16.50,woven railroaded,vert.repeat 0,"horiz.repeat 3cm-1"""
"1561618-01","mont grey","BOOK DELICATE VOLUME 2",300,"62%pan 34%pol 4%cot",16.50,woven railroaded,vert.repeat 0,"horiz.repeat 3cm-1"""
3804670-01,smile off white,BOOK DELICATE VOLUME 2,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804664-01,smile l.grey,BOOK DELICATE VOLUME 2,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3805364-01,theama l.grey,BOOK DELICATE VOLUME 2,320,100%pol,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3805370-01,theama off white,BOOK DELICATE VOLUME 2,320,100%pol,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3805311-01,theama natur,BOOK DELICATE VOLUME 2,320,100%pol,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3805313-01,theama l.beige,BOOK DELICATE VOLUME 2,320,100%pol,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
3804611-01,smile natur,BOOK DELICATE VOLUME 2,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
4563018-01,exist grey,BOOK DELICATE VOLUME 2,300,100%pol,22.50,woven railroaded,vert.repeat 0,horiz.repeat 0
4563064-01,exist l.grey,BOOK DELICATE VOLUME 2,300,100%pol,22.50,woven railroaded,vert.repeat 0,horiz.repeat 0
4563037-01,exist ice,BOOK DELICATE VOLUME 2,300,100%pol,22.50,woven railroaded,vert.repeat 0,horiz.repeat 0
4563010-01,exist white,BOOK DELICATE VOLUME 2,300,100%pol,22.50,woven railroaded,vert.repeat 0,horiz.repeat 0
4563070-01,exist off white,BOOK DELICATE VOLUME 2,300,100%pol,22.50,woven railroaded,vert.repeat 0,horiz.repeat 0
4563011-01,exist natur,BOOK DELICATE VOLUME 2,300,100%pol,22.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5604610-01,single white,BOOK DELICATE VOLUME 2,315,100%pol,12.80,woven railroaded,vert.repeat 0,horiz.repeat 0
5604611-01,single natur,BOOK DELICATE VOLUME 2,315,100%pol,12.80,woven railroaded,vert.repeat 0,horiz.repeat 0
5604613-01,single l.beige,BOOK DELICATE VOLUME 2,315,100%pol,12.80,woven railroaded,vert.repeat 0,horiz.repeat 0
5604618-01,single grey,BOOK DELICATE VOLUME 2,315,100%pol,12.80,woven railroaded,vert.repeat 0,horiz.repeat 0
5604619-01,single sand,BOOK DELICATE VOLUME 2,315,100%pol,12.80,woven railroaded,vert.repeat 0,horiz.repeat 0
1361637-01,leomar ice,BOOK DELICATE VOLUME 2,315,100%pan,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1361664-01,leomar l.grey,BOOK DELICATE VOLUME 2,315,100%pan,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1361618-01,leomar grey,BOOK DELICATE VOLUME 2,315,100%pan,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1361620-01,leomar taupe,BOOK DELICATE VOLUME 2,315,100%pan,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1361683-01,leomar l.taupe,BOOK DELICATE VOLUME 2,315,100%pan,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1361672-01,leomar ecru,BOOK DELICATE VOLUME 2,315,100%pan,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
1361688-01,leomar blue-grey,BOOK DELICATE VOLUME 2,315,100%pan,16.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5304610-01,whispers white,BOOK DELICATE VOLUME 2,300,100%pol,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5304611-02,whispers natur,BOOK DELICATE VOLUME 2,300,100%pol,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5304637-01,whispers ice,BOOK DELICATE VOLUME 2,300,100%pol,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5304683-01,whispers l.taupe,BOOK DELICATE VOLUME 2,300,100%pol,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
5261610-01,romantic white,BOOK DELICATE VOLUME 2,300,100%pol,14.90,woven railroaded,vert.repeat 0,horiz.repeat 0
5261670-01,romantic off white,BOOK DELICATE VOLUME 2,300,100%pol,14.90,woven railroaded,vert.repeat 0,horiz.repeat 0
5261613-01,romantic l.beige,BOOK DELICATE VOLUME 2,300,100%pol,14.90,woven railroaded,vert.repeat 0,horiz.repeat 0
5261664-01,romantic l.grey,BOOK DELICATE VOLUME 2,300,100%pol,14.90,woven railroaded,vert.repeat 0,horiz.repeat 0
6102337-01,mae ice,BOOK DELICATE VOLUME 2,315,100%pol,15.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6102319-01,mae sand,BOOK DELICATE VOLUME 2,315,100%pol,15.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6102320-01,mae taupe,BOOK DELICATE VOLUME 2,315,100%pol,15.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6102324-01,mae d.taupe,BOOK DELICATE VOLUME 2,315,100%pol,15.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6102318-01,mae grey,BOOK DELICATE VOLUME 2,315,100%pol,15.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5601670-01,sentimental off white,BOOK DELICATE VOLUME 2,320,100%pol,13.90,woven railroaded,vert.repeat 0,horiz.repeat 0
5261510-01,skies white,BOOK DELICATE VOLUME 2,300,91%pol 9%cot,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5261511-01,skies natur,BOOK DELICATE VOLUME 2,300,91%pol 9%cot,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5261513-01,skies l.beige,BOOK DELICATE VOLUME 2,300,91%pol 9%cot,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5261583-01,skies l.taupe,BOOK DELICATE VOLUME 2,300,91%pol 9%cot,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
5261518-01,skies grey,BOOK DELICATE VOLUME 2,300,91%pol 9%cot,18.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807970-01,admire off white,BOOK DELICATE VOLUME 2,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807911-01,admire natur,BOOK DELICATE VOLUME 2,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807983-01,admire l.taupe,BOOK DELICATE VOLUME 2,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807964-01,admire l.grey,BOOK DELICATE VOLUME 2,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807937-01,admire ice,BOOK DELICATE VOLUME 2,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807918-01,admire grey,BOOK DELICATE VOLUME 2,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804637-01,smile ice,BOOK DELICATE VOLUME 2,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3804618-01,smile grey,BOOK DELICATE VOLUME 2,320,100%pol,14.00,woven railroaded,vert.repeat 0,horiz.repeat 0
3807920-01,admire taupe,BOOK DELICATE VOLUME 2,320,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"7507937-01","overplay ice","BOOK DELICATE VOLUME 2",315,"41%bio 37%lyocell 22%modal",16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"7507961-01","overplay anthracite","BOOK DELICATE VOLUME 2",315,"41%bio 37%lyocell 22%modal",16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"7507913-01","overplay l.beige","BOOK DELICATE VOLUME 2",315,"41%bio 37%lyocell 22%modal",16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
"7507911-01","overplay natur","BOOK DELICATE VOLUME 2",315,"41%bio 37%lyocell 22%modal",16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
2305410-01,superfine white,BOOK DELICATE VOLUME 2,300,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
2305411-01,superfine natur,BOOK DELICATE VOLUME 2,300,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
2305470-01,superfine off white,BOOK DELICATE VOLUME 2,300,100%pol,16.00,woven railroaded,vert.repeat 0,horiz.repeat 0
6401610-01,eclipse white,BOOK DELICATE VOLUME 2,310,100%pol,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
6401670-01,eclipse off white,BOOK DELICATE VOLUME 2,310,100%pol,14.50,woven railroaded,vert.repeat 0,horiz.repeat 0
"7507970-01","overplay off white","BOOK DELICATE VOLUME 2",315,"41%bio 37%lyocell 22%modal",16.00,woven railroaded,vert.repeat 0,horiz.repeat 0