name,width_cm,cut_price_eur
"20760",330,5.9
"25450",330,7.4
"27010",330,4
"28020",320,8.8
"34010",300,16.2
"34200",310,11.1
"34210",300,15.8
"34220",300,15.8
"34280",310,11.1
"34300",300,15.8
"34310",300,5.9
"47010",315,14.7
"60000",330,6.3
"60020",320,6.3
"60040",320,8.4
"60060",320,6.3
"60100",290,9.5
"8014 (320)",320,6.6
"9099 (330)",330,3.8
"9663",300,10.1
"9665",300,10.1
"ALVES",330,5.5
"AMANDA",295,11.8
"AMORE",320,7.7
"ANASTASIYA",300,20.6
"ARAS",325,5
"ARTAN",300,15.8
"ASHK",300,7.1
"ATHENA",300,4.2
"ATLAS",325,4.1
"AYLA",325,5.9
"AZRIEL",300,22.9
"BAJA",300,5.7
"BELLA",300,9.5
"BREZE-325",325,6.4
"CARINA",305,21
"CEMO",300,15.8
"COLE",315,15.5
"DAMLA",300,7.8
"DAVID",330,6.3
"DELUXE",300,13
"DEREN",330,7.6
"DIDA",310,9
"DOBRI",300,12.1
"EDEN",300,7.4
"FALCON",285,10.5
"FORZA",320,5.9
"GALA BLACKOUT",310,9.9
"GEMINI",315,21
"HILTON",295,10.5
"HOLLY",320,7.4
"IZABELLA",295,17.9
"KARDELEN",320,4.8
"KOSTICI",300,7.1
"LARA",300,5.9
"LATINA",300,13.2
"LENA",290,6.7
"LIFE",300,5.3
"LILY",320,5.9
"LINA",305,11.6
"LINEN DIMOUT",310,15.3
"LIVERPOOL",315,13.9
"LIZA",285,11.6
"LORD BLACKOUT",320,15.3
"LOTUS GREK",300,5.9
"LUIZA",305,15.8
"LUPIN",320,8.4
"MADRA",305,3.6
"MALDIV",295,10.5
"MAPANGA",300,9.9
"MARTIN",305,15.8
"MELON",300,4.2
"MIRANDA",295,18.2
"MIRROR",300,5.7
"NEFISSA",310,15.8
"NESS",290,14.9
"NIVA TTM",300,8.4
"OCEON",325,7.1
"OLIVER",305,15.8
"ORION",315,21
"ORGU FILE",300,13
"PARADISE GREK",300,10.1
"PERU",325,7.4
"PIER",300,10.1
"PLUM",300,4.4
"POLI",300,23.3
"RAW",310,6.3
"REYNA",320,7.1
"RIO",300,8.4
"RIPON TTM",300,8.4
"RODOS",320,6.9
"RUEFUL",300,6.7
"RUSY",300,10.9
"SAMIRA GREK",300,9.2
"SAMUEL",315,20.5
"SAVANA (330)",330,4.8
"SECRET",300,8.8
"SENA GREK",300,10.5
"SIMI 320",320,8.4
"SIES",320,0
"STAR",300,9.5
"SUDE",300,7.4
"SVERA",325,6.7
"TERRA",330,6.3
"THREE D",300,11.6
"TOKYO",315,7.4
"VALBUENA",300,7.8
"VILMA",320,8.4
"VINOGRAT",300,12.1
"VITA",300,20.2
"VOLGA 330",330,4.2
"VOS",300,8.4
"VUAL_1 (330)",330,3.6
"WARS",300,10.5
"YORK",310,10.5
"ZIRH",310,9.2