name,width_cm,cut_price_eur,roll_price_eur,tags
ALMA,315,20.10,,
ARCOLE,295,29.80,,
BERCY FR,303,32.30,,fire-retardant
ECLAT,300,34.20,,
MIRAGE,296,19.90,,
ONDINE,295,31.40,,
REFLET,295,20.10,,
ROYAL,310,31.10,,
SULLY,300,8.90,,
SULLY FR,300,13.10,,fire-retardant
ALGARVE,300,19.70,,
AMAZONIA,285,43.90,,
ANGORA,300,21.70,,
ANTIQUE,140,45.30,,
ARA,330,24.70,,
ARCTIC,140,21.90,,
ARESA,305,34.40,,
ARTISAN STRIPE,312,34.50,,
ARTISAN WAVE,312,34.50,,
ASTORIA FR,150,40.60,,fire-retardant
BASIC GLAZE,280,23.70,,
BASIC HOLD BLACKOUT,280,21.30,13.20,blackout;fire-retardant
BASIC KEY,296,12.30,7.20,
BASIC MOLTON,300,17.90,10.60,
BASIC NORA,280,16.60,9.30,
BASIC PILOU,280,25.60,,
BASIC SATINO,280,19.20,,
BASIC SCHINO,280,11.90,,
BASIC SUNSTOP BLACKOUT,295,24.90,15.00,blackout;fire-retardant
BASIC SWING,280,9.50,6.20,
BELLUCI,300,54.70,,
BLUES,290,33.10,,
BOCCELINO,295,45.20,,
BOHEMIAN,140,29.50,,
BORA,303,28.00,,
BOSTON FR,140,46.40,,fire-retardant
BRASS,305,22.80,,
BREAKERS,300,41.50,,
BREEZE FR,295,16.50,,fire-retardant
BRETON STRIPES,140,19.70,,
BROADWAY,300,25.20,,
BUREN FR,280,49.70,,,blackout;fire-retardant
CALIMA,318,22.90,,
CANVA,310,32.90,,
CELEBRATION VELVET,140,21.40,,velvet
CITY CHIC NOBLE,320,32.80,,
CITY CHIC WOW,315,32.80,,
CLASSY,300,35.90,,
CROWN JEWEL,140,23.90,,
CROWN VELVET,140,23.90,,velvet
CROWN VELVET FR,140,26.10,,velvet;fire-retardant
DISCO FROZEN,140,27.20,,
DISCO POINT,140,27.20,,
DISCO SNAKE,138,27.20,,
DISCO ZIC ZAC,140,27.20,,
DISCOVERY,310,35.60,,
DRIZZLE FR,300,24.80,,fire-retardant
ECLIPSE,150,24.40,,dimout
ESCAPE FR,300,14.60,,fire-retardant
ESSENTIAL AIR,330,12.30,7.50,
ESSENTIAL BLAST,330,9.00,5.20,
ESSENTIAL CHILL,330,8.70,3.70,
ESSENTIAL REVITAL,330,10.50,7.90,
FLAX,300,26.60,,dimout
FRANKLIN FR,150,36.90,,fire-retardant
GANZA,290,36.60,,
GERONIMO,300,23.90,,dimout
GLOSSY,320,14.70,,
GRANITE,300,27.70,,
GRANUL,305,37.00,,
GREEN POINT,300,20.90,,
HEAVEN,305,24.50,,
HIPSTER,290,26.20,,
HORTUS BUSH,140,27.50,,
HORTUS MANGROVE,295,46.90,,
HUDSON,315,24.00,,
IGAPO,140,20.50,,
ISLANDIC PLAIN,300,31.70,,
ISLANDIC STRIPE,300,31.70,,
JAZZ FUSION,290,34.00,,
JAZZ NOVA,290,34.00,,
JUBILATION VELVET,140,21.40,,velvet
KODIS,140,32.30,,
LEVANTE,300,16.00,,
LIBERTY FR,140,24.50,,fire-retardant
LINCOLN FR 280,280,41.90,,blackout;fire-retardant
LINCOLN FR 140,140,18.70,,blackout;fire-retardant
MANHATTAN FR,297,17.60,,fire-retardant
MARBLE,140,26.30,,
MARBLE FR,140,26.10,,fire-retardant
MARCY FR,140,27.10,,fire-retardant
MARCY MIX FR,140,30.20,,fire-retardant
MELTEMI BOUCLE,305,24.00,,
MERINO II,315,19.10,,
MILANESA,315,22.50,,
MILANO,300,24.20,,
MINERAL FR,303,28.20,,fire-retardant
MIST,300,24.20,,
MISTRAL,330,16.90,,
MOLTON,150,10.00,,
MONTE II FR,300,17.80,,fire-retardant
MOONLIGHT DIMOUT,280,15.00,11.50,dimout
NEW YORK,295,25.10,,dimout
NIGHTFALL DUSK,300,33.10,,dimout
NIGHTFALL SUNDOWN,300,32.70,,dimout
NIGHTGUARD FR DIMOUT,300,26.40,19.80,dimout;fire-retardant
NOCTURNE DIMOUT,300,18.50,,dimout
NORA,280,16.60,,
NORDIC FR,300,23.60,,fire-retardant
NOWOLE FR,140,26.80,,fire-retardant
PEACHY,300,27.30,,
PEBBLE,306,23.00,,
PETERSON,300,27.70,,
PLORI,315,33.00,,
PRIMO FR,300,12.70,,fire-retardant
QUEENS FR,140,45.30,,fire-retardant
RAPIDS,306,27.70,,
REFLECTION,309,21.10,,
RE-WOOL FR,145,29.60,,fire-retardant
RIVERSTONE,300,24.30,,
SAND,300,21.90,,
SANDSTORM,140,25.20,,
SATINO,280,19.20,,
SCHINO,280,11.90,,
SILKSOFT,303,9.80,,
SIROCCO,300,24.00,,
SOFTY VELVET,295,34.90,,velvet
SOLAR DIMOUT,315,17.90,,dimout
SOLIDARITY,300,9.40,6.30,
SOUL,280,20.80,,
SUPERNOVA,300,32.90,,
SWING,280,9.50,,
TAILWIND,303,21.00,,
TERRAZZO,300,33.30,,
TIME SQUARE,300,23.10,,
TOSCANELLI,308,18.70,,
UNIVERSE DAMASCUS,280,31.20,,
UNIVERSE DIAMOND,280,31.20,,
UNIVERSE PLAIN,280,31.20,,
UNIVERSE ROME,280,31.20,,
UNIVERSE STRIPE,280,31.20,,
VELLUTI VELVET,140,55.50,,velvet
VERGANO,315,11.80,,
VERGE FR,300,18.20,,fire-retardant
VIVA II,300,22.60,,
WILSON FR,280,49.00,,blackout;fire-retardant
YORKSHIRE TWEED,310,23.40,,
YORKSHIRE WALES,310,23.40,,
ZOOM,315,45.90,,